Name,ID,Zip,County,Address,Latitude,Longitude
1332544,ec3rkeg7,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1555657,ec3ajm8u,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
AUSTIN 3000 PSI CUSTOM FLOOR MIX,ec38q5sw,85024,Maricopa County,"23210 N 7th St, Phoenix, AZ 85024, USA",33.6943411,-112.0655012
1576335,ec3qmum7,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1605033,ec32z2cs,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1555049,ec3z2ncs,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
4500 psi 0.45 w/c 25% fly ash,ec3b6bpn,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1618929,ec3rkkcy,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1619889,ec3agf88,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
5000 psi FLY ASH AIR FLOWABLE,ec329arb,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
"4000 ASH 40% 1/2"" FLOW",ec3p05hq,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
P80257F1,ec3y6462,85743,Pima County,"7620C N Hartman Ln, Tucson, AZ 85743, USA",32.3453086,-111.079861
160028,ec3g5d72,85743,Pima County,"7620C N Hartman Ln, Tucson, AZ 85743, USA",32.3453086,-111.079861
"3500 ASH 40% 1/2"" FLOW",ec30ejj3,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
Elite Sports 4000 .45 25% Ash,ec3wk65m,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
Elite Sports 3000 .55 25% Ash,ec35302m,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
"CCS 3,000 PSI CUSTOM FLOOR MIX",ec3ekrp7,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
MAG AA 4000 STANDARD,ec3h0hj9,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
MAG AA 4000 ASH FLOWABLE,ec3h22jb,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
#8 4000 ASH FLOW GRTPUMPCONC,ec3k7kp0,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1530902,ec3hhytp,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1550237,ec3x4bsf,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
#8 3000psi ASH EXP STD,ec3y9mku,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1377890,ec3n62q6,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
