uuid,name,gwp,declared_unit,category
711fee267d214d29b4501bb12ee45356,Ceramic Wall and Floor Tile,45.9 kgCO2e,1 m2,Ceramic_Tile
20263e1b577a4e668f85da4a6775df3b,Floor Tile - Florence AL,19.9 kgCO2e,1 m2,Ceramic_Tile
23c2834d86cf4d2688083b40d9494954,Floor Tile - Florence AL,19.9 kgCO2e,1 m2,Ceramic_Tile
60464a5be1bd445e9e8a401ed808c866,Quarry Tile,26.3 kgCO2e,1 m2,Ceramic_Tile
33ff1a0a50dd41f0af2aceb145c18594,Quarry Tile,26.3 kgCO2e,1 m2,Ceramic_Tile
1f9c06b25f9b47aaad4b44964f9e23bc,Quarry Tile - Fayette AL,26.3 kgCO2e,1 m2,Ceramic_Tile
5750bce4d52440d0b6e77bd81cb118a9,Quarry Tile - Fayette AL,26.3 kgCO2e,1 m2,Ceramic_Tile
