Name,ID,Zip,County,Address,Latitude,Longitude
3552508 3076 F,ec3h0ncm,71854,Miller County,"3205 Division St, Texarkana, AR 71854, USA",33.4178535,-94.0114467
GlasRoc® Sheathing 5/8” - Nashville,ec3wg4ab,71852,Howard County,"794 State Hwy 369 N, Nashville, AR 71852, USA",34.08519510000001,-93.8729723
GlasRoc® Tile Backer 5/8” - Nashville,ec3qrucy,71852,Howard County,"794 State Hwy 369 N, Nashville, AR 71852, USA",34.08519510000001,-93.8729723
M2Tech Shaftliner Gypsum Board - Nashville,ec39pr1u,71852,Howard County,"794 State Hwy 369 N, Nashville, AR 71852, USA",34.08519510000001,-93.8729723
GlasRoc® Shaftliner Gypsum Board - Nashville,ec37he5d,71852,Howard County,"794 State Hwy 369 N, Nashville, AR 71852, USA",34.08519510000001,-93.8729723
SBS-Modified Asphalt Roofing (Self-Adhered),ec3cy6bz,72206,Pulaski County,"2701 E Roosevelt Rd, Little Rock, AR 72206, USA",34.7212495,-92.2419645
BUR Non-Modified Asphalt Roofing,ec3k6x1t,72206,Pulaski County,"2701 E Roosevelt Rd, Little Rock, AR 72206, USA",34.7212495,-92.2419645
SBS-Modified Asphalt Roofing (Torch Applied),ec3y5273,72206,Pulaski County,"2701 E Roosevelt Rd, Little Rock, AR 72206, USA",34.7212495,-92.2419645
335C3550,ec37krrj,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
IMP 2 in Sheridan,ec3hzcnm,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 2 in Sheridan,ec34kj6h,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 2.5 in Sheridan,ec307ysn,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 3 in Sheridan,ec3bp7fz,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 2.5 in Sheridan,ec3swm9g,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 2.75 in Sheridan,ec3pznz1,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 3 in Sheridan,ec34sdgd,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
IMP 4 in Sheridan,ec37acjh,72150,Grant County,"1811 Rock St, Sheridan, AR 72150, USA",34.325765,-92.3965209
330PP501,ec3q56da,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
330PP526,ec3wup4r,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
340PS525,ec3gehrg,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
340PS500,ec3kgand,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
330PP526,ec3sc565,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
335RS500,ec3q8k2p,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
335C3551,ec3y8rrz,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
335C3561,ec3m5bff,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
335F3561,ec34k001,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
340C4004,ec3swz80,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
Type C 5/8” Gypsum Board - Nashville,ec3hwaxb,71852,Howard County,"794 State Hwy 369 N, Nashville, AR 71852, USA",34.08519510000001,-93.8729723
M2Tech Type X 5/8” Gypsum Board - Nashville,ec39a48j,71852,Howard County,"794 State Hwy 369 N, Nashville, AR 71852, USA",34.08519510000001,-93.8729723
340C4061,ec3a0b4j,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
"Unfabricated HSS - Blytheville, AR – AVERAGE STEEL SUPPLY MIX",ec329kzq,72315,Mississippi County,"5661 E State Hwy 137, Blytheville, AR 72315, USA",35.9438769,-89.7845912
"Unfabricated HSS - Blytheville, AR (Jumbo) - AVERAGE STEEL SUPPLY MIX",ec3k75ss,72315,Mississippi County,"5661 E State Hwy 137, Blytheville, AR 72315, USA",35.9438769,-89.7845912
340PS500,ec3cse4x,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
340PS600,ec3pggp2,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
345C4502PS,ec38bx0e,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
OCAL® PVC-coated Aluminum Conduit,ec3pdqyn,72401,Craighead County,"W Highland Dr, Jonesboro, AR 72401, USA",35.8207297,-90.7135551
340PP501,ec3295t4,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
340PS600,ec3a1zj6,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
PVC-coated conduit light products ELL11/2SA-G,ec3as35c,72401,Craighead County,"W Highland Dr, Jonesboro, AR 72401, USA",35.8207297,-90.7135551
PVC-coated conduit light products NPL3/4X6SA-G,ec3jzcyd,72401,Craighead County,"W Highland Dr, Jonesboro, AR 72401, USA",35.8207297,-90.7135551
345PP501,ec3djea4,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
350PP501,ec30edf0,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
330PP521,ec3d639q,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
335F3562,ec3a9xcm,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335PS500,ec3req14,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
340F407501,ec3xyp8t,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
335FS350,ec3m289u,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335FS355,ec39c2xz,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335FS950,ec3jxfee,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
340PP521,ec33mgrb,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
345PP516,ec353e8t,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
330RP5AE,ec3j6ktu,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
335C3552,ec3mhh53,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335PP521,ec3a4y8s,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
335PP621,ec3jas0b,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
335RP5AE,ec3acbk7,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
335RP601,ec39ffky,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
330C3050,ec3448w3,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
335C3506,ec3z07uy,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335RS600,ec3xgg07,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
335RS6SL,ec344bth,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
335YP621,ec3p3tdb,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
330C3051,ec32afkb,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
330F3059,ec3bu93j,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
330F3060,ec313cz5,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
330F3061,ec3jg7sg,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
330F3069,ec3z692w,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
335F3575,ec3y024q,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
340F407501,ec3dc1g8,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
345F457501,ec393w41,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
330C3004,ec31thht,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
330C3061,ec3p5dke,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
330F3069,ec37c1ee,72601,Boone County,"3252 US-65, Harrison, AR 72601, USA",36.2806012,-93.15942199999999
