uuid,name,gwp,declared_unit,category
4ab75585073e40558be58097e63d4aa6,Fabricated Construction Grade Steel Plate,1260 kgCO2e,1 metric ton,Plate_Steel
e6e031675f3b46cabfe8e60f7a9ad5c3,Fabricated Steel Plate,1540 kgCO2e,1 metric ton,Plate_Steel
011e78c187b44e919b729b503013584d,Fabricated Steel Plate,1640 kgCO2e,1 t,Plate_Steel
9c4c312ee4c94ac0a99674c284ac1f6e,Steel Plate,1021 kgCO2e,1 metric ton,Plate_Steel
b1bc34013e5b453084849a8b3fcd2746,Steel Plate,951 kgCO2e,1 t,Plate_Steel
92d05da2cd014bfaa01e27e1eeeb85ba,Steel Plate (Mill product),1390 kgCO2e,1 t,Plate_Steel
