uuid,name,gwp,declared_unit,category
0c5aa0e7f3bd4e9a9d1a034d99fffc4b,Cold-Rolled Steel Coil,1260 kgCO2e,1 t,Coil_Steel
273d1add8a384ab7abcd724d6ccc490b,Galvanized Steel Coil,1510 kgCO2e,1 metric ton,Coil_Steel
720a25d62ca744fe9bbd3a2080da9f57,Galvanized Steel Coil,1510 kgCO2e,1 t,Coil_Steel
7f6986795b5c42e4a1268dc5f0ca86f5,Hot Rolled Steel Coil,1020 kgCO2e,1 metric ton,Coil_Steel
076cb899a7d94b1b9f5da29e3143f2a2,Hot-Rolled Sheet,1026.8 kgCO2e,1 t,Coil_Steel
62d6874d516c416296a6b96982de6371,Hot-Rolled Sheet,1296.11 kgCO2e,1 t,Coil_Steel
e48e04211e174172b8a7286478040a69,Hot-Rolled Sheet,1243.9 kgCO2e,1 metric ton,Coil_Steel
de5abf226b5d4363a21ef22bba7c1077,Hot-Rolled Sheet,1296.11 kgCO2e,1 t,Coil_Steel
cb4f5ed42a2b48c99a527e62e8777aac,Hot-Rolled Steel Coil,1170 kgCO2e,1 t,Coil_Steel
