uuid,name,gwp,declared_unit,category
9c1d4420f653445c8e93cfc76c78eb8a,Spray-applied Fire-Resistive Materials (SFRMs) - High & Ultra High Density,710 kgCO2e,1000 kg,Applied_Fireproofing
6e32211fc1584ce397a28676d7b8e180,Spray-applied Fire-Resistive Materials (SFRMs) - High & Ultra High Density,710 kgCO2e,1000 kg,Applied_Fireproofing
c9fbaed2e31a4128bf47179a56336559,Spray-applied Fire-Resistive Materials (SFRMs) - Medium Density,925 kgCO2e,1000 kg,Applied_Fireproofing
c0052f8d5c794c38988a8baa8ec8a24d,Spray-applied Fire-Resistive Materials (SFRMs) - Medium Density,925 kgCO2e,1000 kg,Applied_Fireproofing
3c549fe09d3848c58e2c997e501a3e34,Spray-applied Fire-Resistive Materials (SFRMs) - Standard Density,228 kgCO2e,1000 kg,Applied_Fireproofing
fc58b2822e0c4cc7901064ded17e7774,Spray-applied Fire-Resistive Materials (SFRMs) - Standard Density,228 kgCO2e,1000 kg,Applied_Fireproofing
