uuid,name,gwp,declared_unit,category
ff63efd625f64229a9410c5b2a5b1145,9600 Series Electric Strike,6.07 kgCO2e,1 piece,Doors_Hardware
181f8a6afb4b4fff9ff383c9e996c164,HES 1006 Series Electric Strike,3.78 kgCO2e,1 unit,Doors_Hardware
930ee3c434034c66bae7490e8daf6c90,HES 9000 Series Surface Mounted Electric Strikes,10 kgCO2e,1 piece,Doors_Hardware
679d9e1cffd6487d86dbbdf66e25d4bc,HES1006 Series Electric Strike,4.6 kgCO2e,1 piece,Doors_Hardware
d0f83532a4b5474abf23587d5f6b1753,Pemko PDB411E Acoustic Automatic Door Bottom,5.3 kgCO2e,1 unit,Doors_Hardware
cad993c31b0c460baac999595a22835e,Pemko Silicone Adhesive Smoke and Fire Gasket,3.6 kgCO2e,1 ea,Doors_Hardware
91522752dc264e4999f6dadf248b146f,Securitron M32 Magnalock,11 kgCO2e,1 piece,Doors_Hardware
