uuid,name,gwp,declared_unit,category
5529d5d82157429cb2608d6034783eba,Fibre cement product -  Hicem Fibre Cement Board 4 mm,3.51 kgCO2e,1 m2,Cement_Board
2655f4c7524043088ecc93110d1423d4,Fibre cement product -  Hicem Fibre Cement Board 6 mm,5.26 kgCO2e,1 m2,Cement_Board
8d13dd1396644c1eb3be260b3fe232c8,Fibre cement product -  Hicem Fibre Cement Board 8 mm,7.01 kgCO2e,1 m2,Cement_Board
ff1196eebc5f4e3a86e2e74f5da6800c,Fibre cement product -  Hilux Calcium Silicate Board 6 mm,5.09 kgCO2e,1 m2,Cement_Board
efa45acab1754d30bb422e79c483c953,Fibre cement product - Greencor roofing sheet,9.33 kgCO2e,1 m2,Cement_Board
