region1,region2,category_id,tariff_percent
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,991e076afa2647f4aecca634d7f1de7d,30
IN,US,ad56c06d77e64ca6881bf08d48f31919,50
IN,US,78962b21a33d47dd9395387d57f76b66,30
IN,US,78962b21a33d47dd9395387d57f76b66,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,78962b21a33d47dd9395387d57f76b66,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,6daae3d967104f5c8c85199b259f58c8,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,ca0d30f6f7e04106afbf0124f0ae35f3,30
IN,US,991e076afa2647f4aecca634d7f1de7d,30
